year,pacfa_id,license_no,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude,animal_type,measure,value
2007,1161.0,,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,,Dog,Owner Relinquished,3
2007,5597.0,,,"Animal House Pets & Grooming, Inc.",1104 W. Vine Dr.,Fort Collins,Co,80521.0,Larimer County,40.624808,-105.028464,Dog,Adoption,381
2007,5597.0,,,"Animal House Pets & Grooming, Inc.",1104 W. Vine Dr.,Fort Collins,Co,80521.0,Larimer County,40.624808,-105.028464,Dog,Death,8
2007,5597.0,,,"Animal House Pets & Grooming, Inc.",1104 W. Vine Dr.,Fort Collins,Co,80521.0,Larimer County,40.624808,-105.028464,Dog,Euthanasia,3
2007,5597.0,,,"Animal House Pets & Grooming, Inc.",1104 W. Vine Dr.,Fort Collins,Co,80521.0,Larimer County,40.624808,-105.028464,Dog,Other Intake,434
2007,5597.0,,,"Animal House Pets & Grooming, Inc.",1104 W. Vine Dr.,Fort Collins,Co,80521.0,Larimer County,40.624808,-105.028464,Dog,Owner Relinquished,1
2007,5597.0,,,"Animal House Pets & Grooming, Inc.",1104 W. Vine Dr.,Fort Collins,Co,80521.0,Larimer County,40.624808,-105.028464,Dog,Transfer Out,5
2007,805.0,,,Animal Kingdom,339 S. Santa Fe,Pueblo,Co,81003.0,,,,Cat,Other Intake,2
2007,805.0,,,Animal Kingdom,339 S. Santa Fe,Pueblo,Co,81003.0,,,,Cat,Owner Relinquished,2
2007,805.0,,,Animal Kingdom,339 S. Santa Fe,Pueblo,Co,81003.0,,,,Other,Other Intake,2
2007,4855.0,,,Animal Loving People Helping Animals (Alpha) Humane,0086 So. Rd. 1 East,Monte Vista,Co,81144.0,,,,Cat,Adoption,27
2007,4855.0,,,Animal Loving People Helping Animals (Alpha) Humane,0086 So. Rd. 1 East,Monte Vista,Co,81144.0,,,,Cat,Other Intake,9
2007,4855.0,,,Animal Loving People Helping Animals (Alpha) Humane,0086 So. Rd. 1 East,Monte Vista,Co,81144.0,,,,Dog,Adoption,47
2007,4855.0,,,Animal Loving People Helping Animals (Alpha) Humane,0086 So. Rd. 1 East,Monte Vista,Co,81144.0,,,,Dog,Other Intake,31
2007,4855.0,,,Animal Loving People Helping Animals (Alpha) Humane,0086 So. Rd. 1 East,Monte Vista,Co,81144.0,,,,Dog,Owner Relinquished,2
